id,lat,long
42,53.349562,-6.278198
30,53.353462,-6.265305
54,53.336021,-6.26298
108,53.359405,-6.276142
56,53.33796,-6.24153
6,53.343368,-6.27012
18,53.334123,-6.265436
32,53.344304,-6.250427
52,53.338755,-6.262003
48,53.347777,-6.244239
13,53.336074,-6.252825
43,53.330091,-6.268044
81,53.339983,-6.295594
31,53.350929,-6.265125
98,53.341515,-6.256853
23,53.348279,-6.254662
106,53.35893,-6.280337
112,53.357841,-6.251557
68,53.344115,-6.237153
74,53.343893,-6.280531
87,53.347477,-6.28525
84,53.339005,-6.300217
90,53.344153,-6.233451
11,53.334019,-6.258371
17,53.340803,-6.267732
45,53.351464,-6.255265
114,53.333653,-6.248345
72,53.343105,-6.277167
63,53.341428,-6.24672
113,53.338614,-6.248606
91,53.341833,-6.231291
99,53.346637,-6.246154
9,53.343034,-6.263578
67,53.346867,-6.230852
116,53.3547,-6.272314
55,53.33403,-6.260714
62,53.346026,-6.243576
5,53.330662,-6.260177
97,53.342113,-6.310015
61,53.357043,-6.263232
77,53.348875,-6.267459
73,53.342081,-6.275233
4,53.346874,-6.272976
49,53.347932,-6.240928
19,53.334432,-6.245575
7,53.343565,-6.275071
102,53.354929,-6.269425
38,53.350974,-6.25294
53,53.337132,-6.26059
58,53.339218,-6.240642
66,53.347122,-6.234749
104,53.355173,-6.278424
101,53.350291,-6.273507
115,53.354845,-6.247579
47,53.335742,-6.24551
117,53.343653,-6.231755
8,53.347884,-6.248048
27,53.341288,-6.258117
16,53.347508,-6.252192
96,53.341805,-6.305085
82,53.341645,-6.29719
76,53.342296,-6.287661
71,53.337757,-6.267699
79,53.358115,-6.265601
69,53.342638,-6.238695
25,53.339434,-6.246548
51,53.339334,-6.264699
37,53.337494,-6.26199
59,53.35561,-6.261397
95,53.343897,-6.29706
94,53.346985,-6.297804
105,53.355954,-6.278378
36,53.337824,-6.256035
93,53.346603,-6.296924
22,53.345922,-6.254614
50,53.35023,-6.279696
110,53.356307,-6.273717
12,53.359246,-6.269779
34,53.330362,-6.265163
78,53.359967,-6.264828
2,53.356769,-6.26814
75,53.343456,-6.287409
111,53.356717,-6.256359
26,53.339764,-6.251988
65,53.34744,-6.238523
15,53.355473,-6.264423
86,53.347972,-6.291804
10,53.344007,-6.266802
100,53.347106,-6.292041
24,53.352149,-6.260533
64,53.345203,-6.247163
109,53.353331,-6.249319
85,53.338776,-6.30395
107,53.359157,-6.281866
33,53.349013,-6.260311
44,53.358437,-6.260641
89,53.335211,-6.2509
57,53.339629,-6.243778
80,53.341359,-6.292951
41,53.332763,-6.257942
3,53.351182,-6.269859
40,53.3483,-6.266651
29,53.346057,-6.268001
103,53.354663,-6.278681
28,53.356299,-6.258586
39,53.332383,-6.252717
83,53.340714,-6.308191
92,53.347802,-6.292432
21,53.34218,-6.254485
88,53.3488,-6.281637
